title,link,snippet,date_range,date
SBI buys loans worth Rs 27000 cr from non-banking ...,https://www.business-standard.com/article/finance/sbi-buys-loans-worth-rs-27-000-cr-from-non-banking-financial-cos-in-fy19-119040900138_1.html,"State Bank of India has acquired retail loans worth Rs 27,000 crore including Rs 10,000 crore worth of micro-finance loans from non-banking finance entities ...",04/04/2019 to 05/04/2019,
Story of Edelweiss' Rashesh Shah,https://m.economictimes.com/markets/stocks/news/from-an-analyst-to-a-head-of-1-billion-financial-conglomerate-story-of-edelweiss-rashesh-shah/articleshow/68737788.cms,"The firm took root in the stock market and blossomed into a $1 billion group built around credit, insurance, and wealth management.",04/04/2019 to 05/04/2019,
About Us,https://bfsi.economictimes.indiatimes.com/about_us.php,"BFSI News - Find the latest Banking, Financial Services and Insurance News & Articles from all top sources for the Indian Finance industry on ET BFSI.",04/04/2019 to 05/04/2019,
"Read Latest Finance News, IPO, Mutual Funds News",https://m.economictimes.com/markets/stocks/news/how-to-use-the-pareto-principle-to-get-the-edge-in-stock-trading/articleshow/68988648.cms,Personal Finance News · Mutual Funds · Spend · Credit Cards · P2P · Calculators · Recurring Deposit Calculator · Fixed Deposit Calculator · LTCG Tax Calculator ...,04/04/2019 to 05/04/2019,
Flash Electronics raises Rs 200 cr to expand operations,https://www.dmifinance.in/flash-electronics-raises-rs-200-cr-to-expand-operations/,Pune-based auto component manufacturer Flash Electronics India has raised Rs 200 crore from private equity firm DMI Finance to expand operations.,04/04/2019 to 05/04/2019,
The Quarterly Journal of Finance,https://www.financeindia.org/fi.htm,"FINANCE INDIA (ISSN : 0970 - 3772), The Quarterly Journal of Finance, published regularly since 1987 by Indian Institute of Finance, is a Two Tier Triple ...",05/05/2019 to 06/04/2019,
GIFT | Welcome to the new epicentre of Global Finance and IT.,https://www.giftgujarat.in/,The vision is to create a world-class finance and IT zone for India to provide services not only to India but to the entire world.,05/05/2019 to 06/04/2019,
Capital Market,https://www.capitalmarket.com/?srsltid=AfmBOoqtPEdqGKTR3JqLbXM6PNd9u1efiZmukg4nvtjZOXAcJKJ3aTVa,,05/05/2019 to 06/04/2019,
National Financial Reporting Authority | India,https://nfra.gov.in/,"The National Financial Reporting Authority (NFRA) was constituted on 01st October,2018 by the Government of India under Sub Section (1) of section 132 of the ...",05/05/2019 to 06/04/2019,
Personal Finance News & Investment Advice - Outlook Business,https://www.outlookbusiness.com/personal-finance-news,"Personal Finance In Election Manifestos: BJP Promises Ayushman Bharat For Seniors, Congress Promises Increased Pensions",05/05/2019 to 06/04/2019,
FINANCE INDIA (Quarterly Journal of Finance of Indian ...,https://financeindia.org/ia.htm,"The Quarterly Journal of Finance, published regularly since 1987 by Indian Institute of Finance, is a Two Tier Triple Blind Peer Review Refereed Journal.",05/05/2019 to 06/04/2019,
"United Bank of India, after successive loss, posts Rs 95 cr ...",https://www.business-standard.com/article/finance/united-bank-of-india-marks-turnaround-rs-95-crore-profit-for-q4-of-fy19-119051301253_1.html,"United Bank of India, after successive quarters of loss, on Monday posted a net profit of Rs 95.18 crore for Q4 of FY19, against a net loss of Rs 261 crore ...",05/05/2019 to 06/04/2019,
The ripple effect of the NBFC crisis on the economy - Mint,https://www.livemint.com/industry/banking/the-ripple-effect-of-the-nbfc-crisis-on-the-economy-1557242882381.html,"NBFCs are facing a crisis, particularly the smaller ones that are struggling with asset-liability mismatch amid corporate governance issues.",05/05/2019 to 06/04/2019,
"Months after IL&FS collapsed, India's markets are on a ...",https://www.economist.com/finance-and-economics/2019/05/09/months-after-il-and-fs-collapsed-indias-markets-are-on-a-strong-run,"From a low point on October 26th, financial markets resumed a rise that, notwithstanding several reversals and a lull in recent days, has seen dramatic gains in ...",05/05/2019 to 06/04/2019,
Finance Secretary SC Garg Briefs Media On India's GDP ...,https://www.youtube.com/watch?v=6DRwaORt2gQ,Finance Secretary Subhash Chandra Garg is briefing the media on India's GDP numbers. #BQLive Read: http://bit.ly/2EKEDOl Subscribe to BloombergQuint on ...,05/05/2019 to 06/04/2019,
Economic Survey,https://www.indiabudget.gov.in/economicsurvey/,"Economic Survey 2023-24 Highlights, आर्थिक सर्वेक्षण 2023-24 की मुख्य विशेषताएं, Economic Survey 2023-2024",06/05/2019 to 07/05/2019,
News on IIFL Finance,http://www.moneycontrol.com/company-article/iiflfinance/news/II15,Get latest IIFL Finance News/Updates and Results/Analysis. Also get IIFL Finance Share/Stock detailed Information on IIFL Finance along with top stories and ...,06/05/2019 to 07/05/2019,
Finance,https://www.vccircle.com/industry/finance/66/220,"Stay updated with the latest financial news, funding developments, government policies, and insights shaping the finance sector in India.",06/05/2019 to 07/05/2019,
Mohd Ujaley,https://www.financialexpress.com/author/mohd-ujaley/,Latest News · Bhartias to buy 40% in Coke's India bottler; may tie-up with Goldman Sachs for funding · Sebi expands insider trading net · US consumer prices see ...,06/05/2019 to 07/05/2019,
Press Releases,https://www.sidbi.in/en/press-releases,"Press Releases ; 1, SIDBI holds its 26th Annual General Meeting (AGM), 25/09/2024 ; 2, Hon'ble Finance Minister, Smt. Nirmala Sitharaman Interacts with MSME ...",06/05/2019 to 07/05/2019,
June 2019 News,"https://m.economictimes.com/archive/year-2019,month-6.cms","Personal Finance News · Mutual Funds · Spend · Credit Cards · P2P; Data Center. Fuel ... INDIA bloc, to back Mamata Banerjee · Odisha govt suffered loss of Rs 75 ...",06/05/2019 to 07/05/2019,
finance minister Nirmala Sitharaman | Zee News - India.Com,https://zeenews.india.com/tags/finance-minister-nirmala-sitharaman.html,Finance Minister Nirmala Sitharaman to Budget On 23 July. 'UPA Made Economy Non-Performing In 10 Years:' FM Sitharaman.,06/05/2019 to 07/05/2019,
